# z = 0.106, a = 0.904, h = 0.67742, BoxSize = 50.00 Mpc/h, Ngroups_Total = 162216, Nsubhalos_Total = 172024
# Mstar, BH mass(median), BH mass(16%tile), BH mass(84%tile), #(gal)
 8.66667  5.17066  5.16952  5.17498     1337
 9.00000  5.17535  5.17086  5.19832     1129
 9.33333  5.22437  5.18096  7.16639     1007
 9.66667  5.44772  5.21619  9.92055      738
10.00000  5.61970  5.27336 10.15056      499
10.33333  5.92747  5.39010 10.59065      325
10.66667  6.50930  5.48358 10.89670      189
11.00000 10.84632  5.75692 11.23917      105
11.33333 11.03284  5.25487 11.48500       48
11.66667 11.22254  5.48842 11.82567       26
12.00000  9.55665  6.18686 12.15430        7
12.33333      nan      nan      nan        0
